ds,y,promo,dow
2022-01-01,1039.97,1,5
2022-01-02,957.09,1,6
2022-01-03,1082.98,0,0
2022-01-04,1261.04,0,1
2022-01-05,1013.17,0,2
2022-01-06,972.51,0,3
2022-01-07,944.63,0,4
2022-01-08,1001.07,1,5
2022-01-09,1082.58,1,6
2022-01-10,941.27,0,0
2022-01-11,1273.52,0,1
2022-01-12,1304.61,0,2
2022-01-13,1127.85,0,3
2022-01-14,1063.02,0,4
2022-01-15,1102.27,1,5
2022-01-16,1021.07,1,6
2022-01-17,1081.72,0,0
2022-01-18,1107.89,0,1
2022-01-19,1332.79,0,2
2022-01-20,1134.28,0,3
2022-01-21,949.75,0,4
2022-01-22,1009.55,1,5
2022-01-23,1251.26,1,6
2022-01-24,1047.03,0,0
2022-01-25,1178.47,0,1
2022-01-26,1227.15,0,2
2022-01-27,1209.8,0,3
2022-01-28,1021.96,0,4
2022-01-29,1140.05,1,5
2022-01-30,1193.05,1,6
2022-01-31,1293.42,0,0
2022-02-01,1197.29,0,1
2022-02-02,1227.61,0,2
2022-02-03,1091.51,0,3
2022-02-04,1063.18,0,4
2022-02-05,1231.5,1,5
2022-02-06,1158.19,1,6
2022-02-07,1010.9,0,0
2022-02-08,1170.97,0,1
2022-02-09,1359.21,0,2
2022-02-10,1262.34,0,3
2022-02-11,1070.83,0,4
2022-02-12,1070.31,1,5
2022-02-13,1210.81,1,6
2022-02-14,1120.93,0,0
2022-02-15,1289.43,0,1
2022-02-16,1395.22,0,2
2022-02-17,1224.09,0,3
2022-02-18,1097.9,0,4
2022-02-19,1160.04,1,5
2022-02-20,1232.65,1,6
2022-02-21,1185.22,0,0
2022-02-22,1134.44,0,1
2022-02-23,1288.47,0,2
2022-02-24,1166.81,0,3
2022-02-25,978.0,0,4
2022-02-26,1140.13,1,5
2022-02-27,1367.28,1,6
2022-02-28,1046.63,0,0
2022-03-01,1387.85,0,1
2022-03-02,1162.76,0,2
2022-03-03,1190.72,0,3
2022-03-04,1068.26,0,4
2022-03-05,1238.37,1,5
2022-03-06,1300.68,1,6
2022-03-07,1221.84,0,0
2022-03-08,1265.16,0,1
2022-03-09,1293.55,0,2
2022-03-10,1318.46,0,3
2022-03-11,1041.02,0,4
2022-03-12,1061.87,1,5
2022-03-13,1125.56,1,6
2022-03-14,1057.87,0,0
2022-03-15,1356.78,0,1
2022-03-16,1360.76,0,2
2022-03-17,1308.15,0,3
2022-03-18,1023.57,0,4
2022-03-19,1212.43,1,5
2022-03-20,1308.21,1,6
2022-03-21,1124.13,0,0
2022-03-22,1357.69,0,1
2022-03-23,1284.97,0,2
2022-03-24,1207.14,0,3
2022-03-25,1032.16,0,4
2022-03-26,1081.48,1,5
2022-03-27,1298.46,1,6
2022-03-28,1111.25,0,0
2022-03-29,1316.07,0,1
2022-03-30,1401.74,0,2
2022-03-31,1290.29,0,3
2022-04-01,1138.76,0,4
2022-04-02,1193.01,1,5
2022-04-03,1208.83,1,6
2022-04-04,1151.17,0,0
2022-04-05,1146.73,0,1
2022-04-06,1209.29,0,2
2022-04-07,1113.39,0,3
2022-04-08,972.21,0,4
2022-04-09,1241.91,1,5
2022-04-10,1159.3,1,6
2022-04-11,1120.11,0,0
2022-04-12,1443.86,0,1
2022-04-13,1316.54,0,2
2022-04-14,1317.27,0,3
2022-04-15,976.12,0,4
2022-04-16,1177.77,1,5
2022-04-17,1150.85,1,6
2022-04-18,1120.66,0,0
2022-04-19,1394.31,0,1
2022-04-20,1175.47,0,2
2022-04-21,1282.7,0,3
2022-04-22,1088.7,0,4
2022-04-23,1132.65,1,5
2022-04-24,1094.64,1,6
2022-04-25,1156.33,0,0
2022-04-26,1251.59,0,1
2022-04-27,1365.45,0,2
2022-04-28,1235.13,0,3
2022-04-29,1218.51,0,4
2022-04-30,1159.36,1,5
2022-05-01,1127.77,1,6
2022-05-02,1159.61,0,0
2022-05-03,1318.83,0,1
2022-05-04,1470.11,0,2
2022-05-05,1308.2,0,3
2022-05-06,1085.49,0,4
2022-05-07,1318.46,1,5
2022-05-08,1099.75,1,6
2022-05-09,1068.39,0,0
2022-05-10,1194.6,0,1
2022-05-11,1285.38,0,2
2022-05-12,1076.94,0,3
2022-05-13,1102.99,0,4
2022-05-14,1136.52,1,5
2022-05-15,1057.86,1,6
2022-05-16,1019.76,0,0
2022-05-17,1307.33,0,1
2022-05-18,1396.67,0,2
2022-05-19,1402.55,0,3
2022-05-20,1318.9,0,4
2022-05-21,1184.79,1,5
2022-05-22,1090.31,1,6
2022-05-23,895.51,0,0
2022-05-24,1289.93,0,1
2022-05-25,1218.54,0,2
2022-05-26,1148.12,0,3
2022-05-27,952.89,0,4
2022-05-28,1112.08,1,5
2022-05-29,1278.45,1,6
2022-05-30,1110.44,0,0
2022-05-31,1233.14,0,1
2022-06-01,1181.94,0,2
2022-06-02,1007.69,0,3
2022-06-03,950.81,0,4
2022-06-04,1102.08,1,5
2022-06-05,1329.74,1,6
2022-06-06,1092.63,0,0
2022-06-07,1332.0,0,1
2022-06-08,1220.15,0,2
2022-06-09,1041.1,0,3
2022-06-10,887.23,0,4
2022-06-11,1014.98,1,5
2022-06-12,1345.69,1,6
2022-06-13,981.4,0,0
2022-06-14,1301.4,0,1
2022-06-15,1163.51,0,2
2022-06-16,1236.37,0,3
2022-06-17,1005.76,0,4
2022-06-18,1050.95,1,5
2022-06-19,1107.77,1,6
2022-06-20,981.32,0,0
2022-06-21,1245.34,0,1
2022-06-22,1191.41,0,2
2022-06-23,1003.69,0,3
2022-06-24,822.45,0,4
2022-06-25,1062.35,1,5
2022-06-26,1248.17,1,6
2022-06-27,1045.62,0,0
2022-06-28,1171.65,0,1
2022-06-29,1248.24,0,2
2022-06-30,1239.57,0,3
2022-07-01,954.87,0,4
2022-07-02,982.17,1,5
2022-07-03,1179.04,1,6
2022-07-04,1552.09,2,0
2022-07-05,1319.74,0,1
2022-07-06,1220.63,0,2
2022-07-07,969.18,0,3
2022-07-08,778.79,0,4
2022-07-09,1166.54,1,5
2022-07-10,1218.99,1,6
2022-07-11,977.06,0,0
2022-07-12,1110.62,0,1
2022-07-13,1331.27,0,2
2022-07-14,963.78,0,3
2022-07-15,809.04,0,4
2022-07-16,1044.31,1,5
2022-07-17,985.77,1,6
2022-07-18,977.59,0,0
2022-07-19,1115.75,0,1
2022-07-20,1202.11,0,2
2022-07-21,1198.55,0,3
2022-07-22,890.98,0,4
2022-07-23,1023.56,1,5
2022-07-24,799.52,1,6
2022-07-25,956.92,0,0
2022-07-26,1031.57,0,1
2022-07-27,1030.39,0,2
2022-07-28,954.02,0,3
2022-07-29,832.66,0,4
2022-07-30,1030.93,1,5
2022-07-31,852.24,1,6
2022-08-01,949.4,0,0
2022-08-02,1052.16,0,1
2022-08-03,1104.33,0,2
2022-08-04,1127.09,0,3
2022-08-05,905.01,0,4
2022-08-06,1054.52,1,5
2022-08-07,951.07,1,6
2022-08-08,862.37,0,0
2022-08-09,1064.0,0,1
2022-08-10,1147.33,0,2
2022-08-11,1030.63,0,3
2022-08-12,729.11,0,4
2022-08-13,912.83,1,5
2022-08-14,972.59,1,6
2022-08-15,1170.64,0,0
2022-08-16,1261.2,0,1
2022-08-17,1025.09,0,2
2022-08-18,971.78,0,3
2022-08-19,678.97,0,4
2022-08-20,829.51,1,5
2022-08-21,966.41,1,6
2022-08-22,1027.91,0,0
2022-08-23,989.27,0,1
2022-08-24,1033.9,0,2
2022-08-25,774.92,0,3
2022-08-26,798.42,0,4
2022-08-27,769.18,1,5
2022-08-28,869.05,1,6
2022-08-29,809.75,0,0
2022-08-30,1043.11,0,1
2022-08-31,914.16,0,2
2022-09-01,833.83,0,3
2022-09-02,1018.75,0,4
2022-09-03,735.77,1,5
2022-09-04,801.74,1,6
2022-09-05,1073.08,0,0
